PMID,Title,Abstract
40822131,A bibliometric and systematic review of the global impact of air pollution on Alzheimer's disease: Insights from cohort studies.,"Emerging evidence highlights the potential role of environmental factors, particularly air pollution, in the development and progression of Alzheimer's disease (AD). Air pollutants may contribute to neurodegenerative processes through mechanisms such as oxidative stress, neuroinflammation, and disruption of the blood-brain barrier. This review aims to systematically evaluate global cohort studies investigating the association between long-term exposure to key air pollutants-specifically particulate matter (PM2.5), nitrogen dioxide (NO<sub>2</sub>), and ozone (O<sub>3</sub>)-and the risk of AD. A total of 31 peer-reviewed cohort studies were included based on a structured search strategy. We analyzed epidemiological outcomes, exposure assessment methodologies, and geographic trends. Additionally, a bibliometric analysis was conducted using VOSviewer to identify major contributors and emerging research themes. Findings indicate a consistent association between PM2.5 exposure and increased risk of AD, independent of genetic predisposition and lifestyle factors. Proposed biological mechanisms include oxidative stress, microglial activation, blood-brain barrier disruption, and amyloid-β accumulation. Bibliometric mapping revealed regional concentration of research in North America, Europe, and East Asia, with increasing global interest over the past decade. There is mounting evidence linking air pollution to Alzheimer's disease. Advances in exposure assessment have improved the accuracy of epidemiological findings. Public health policies targeting air quality control and further studies on molecular and early-life exposures are essential to mitigate the neurotoxic effects of environmental pollutants."
40821767,The role of the microbiome on immune homeostasis of the host nervous system.,"The gut microbiota is often termed the ""second genome"" of the human body. It has been shown to be one of the most significant environmental factors (non-genetic) influencing the onset, progression, and prognosis of various neurological and psychiatric disorders through its interactions with the host immune, nervous, and endocrine systems. Changes in the function and composition of the gut microbiota are strongly associated with amyotrophic lateral sclerosis, autism spectrum disorder, depression, Parkinson's disease, and Alzheimer's disease. This review summarizes the research regarding the associations and regulatory mechanisms between the gut microbiota and the central nervous system in order to explore the role of the gut microbiota in maintaining neural homeostasis."
40820409,Plasma IL-6 Levels as a Biomarker for Behavioral Changes in Alzheimer's Disease.,"Behavioral and psychological symptoms of dementia (BPSD) significantly affect the quality of life for patients with Alzheimer's disease (AD) and contribute to caregiver burden. Although systemic inflammation is implicated in AD pathophysiology, the specific role of peripheral immune activity-particularly interleukin-6 (IL-6)-in relation to BPSD remains unclear, especially regarding its independent effects from central neuroinflammation. We conducted a cross-sectional study of 23 biomarker-confirmed patients diagnosed with AD or prodromal AD. Plasma and cerebrospinal fluid (CSF) levels of IL-6, IL-1β, TNF-α, and C-reactive protein (CRP) were measured. BPSD was assessed using the Dementia Behavior Disturbance (DBD) scale. Central neuroinflammation was quantified via 11C-DPA-713 translocator protein positron emission tomography (TSPO-PET). Stepwise multiple linear regression and Bayesian analyses were used to identify predictors of BPSD severity. Plasma IL-6 emerged as the only significant predictor of DBD scores in frequentist and Bayesian regression models. Other demographic, cognitive, and inflammatory variables, including CSF IL-6 and TSPO-PET binding, showed no significant association with behavioral symptoms. No correlation was observed between plasma and CSF IL-6 levels, nor between plasma IL-6 and TSPO-PET measures. Peripheral IL-6 is significantly associated with BPSD severity in AD, independently of central inflammatory markers. This finding suggests a distinct peripheral immune mechanism underlying neuropsychiatric symptoms, potentially mediated through systemic pathways such as vagus nerve signaling or gut-brain-immune interactions. Peripheral IL-6 may serve as a clinically relevant biomarker and therapeutic target for behavioral disturbances in AD."
40819671,Platelets: A new therapeutic target for neurological diseases.,"Beyond their classical roles in hemostasis and coagulation, accumulating evidence highlights platelets as multifaceted regulators within the nervous system. Research has revealed that platelet-derived factors promote blood-brain barrier (BBB) maturation and angiogenesis via neurochemical pathways. At the same time, platelet-rich plasma (PRP) facilitates neural regeneration by mitigating the neurotoxicity of amyloid-beta (Aβ) and activating the PI3k/Akt signaling pathway. Platelets also modulate synaptic plasticity through NMDA receptor-dependent mechanisms and regulate the synthesis of neurotransmitters. Pathologically, platelets emerge as key contributors to neurodegeneration. They exacerbate Alzheimer's disease (AD) pathology by releasing Aβ and promoting tau hyperphosphorylation, trigger migraines via P2Y12-mediated platelet-leukocyte aggregates and serotonin dysregulation, and amplify neuroinflammation in multiple sclerosis (MS) through CD40L-dependent BBB disruption. Conversely, inhibiting platelet activation using PAFR antagonists (Ginkgolide B), P2Y12 inhibitors (Clopidogrel), or cyclooxygenase modulators (Aspirin) can alleviate neuroinflammation, reduce pathological protein accumulation, and promote functional recovery. This review summarizes the mechanistic roles of platelets in both nervous system physiology and neuropathology, proposing novel platelet-targeted preventive and therapeutic strategies."
40817729,Low-intensity transcranial ultrasound neuromodulation promotes neuronal regeneration: A new hope for noninvasive treatment of neurodegenerative diseases.,"Neurodegenerative diseases, which are characterized by progressive neuronal loss and the lack of disease-modifying therapies, are becoming a major global health challenge. The existing neuromodulation techniques, such as deep brain stimulation and transcranial magnetic stimulation, show limitations such as invasiveness, restricted cortical targeting, and irreversible tissue effects. In this context, low-intensity transcranial ultrasound has emerged as a promising noninvasive alternative that can penetrate deep into the brain and modulate neuroplasticity. This review comprehensively assesses the therapeutic mechanisms, efficacy, and translational potential of low-intensity transcranial ultrasound in treating neurodegenerative diseases, with emphasis on its role in promoting neuronal regeneration, modulating neuroinflammation, and enhancing functional recovery. We summarize the findings of previous studies and systematically illustrate the potential of low-intensity transcranial ultrasound in regulating cell death mechanisms, enhancing neural repair and regeneration, and alleviating symptoms associated with neurodegenerative diseases. Preclinical findings indicate that low-intensity transcranial ultrasound can enhance the release of neurotrophic factors (e.g., brain-derived neurotrophic factor), promote autophagy to clear protein aggregates, modulate microglial activation, and temporarily open the blood-brain barrier to facilitate targeted drug delivery. Existing clinical trial data show that low-intensity transcranial ultrasound can reduce amyloid-? plaques, improve motor and cognitive deficits, and promote remyelination in various disease models. Early clinical trials suggest that low-intensity transcranial ultrasound may enhance cognitive scores in Alzheimer's disease and alleviate motor symptoms in Parkinson's disease, all while demonstrating a favorable safety profile. Past studies support the notion that by integrating safety, precision, and reversibility, low-intensity transcranial ultrasound can transform the treatment landscape for neurodegenerative disease. However, more advancements are necessary for future clinical application of low-intensity transcranial ultrasound, including optimizing parameters such as frequency, intensity, and duty cycle; considering individual anatomical differences; and confirming long-term efficacy. We believe establishing standardized protocols, conducting larger trials, and investigating the underlying mechanisms to clarify dose-response relationships and refine personalized application strategies are essential in this regard. Future research should focus on translating preclinical findings into clinical practice, addressing technical challenges, and exploring combination therapies with pharmacological or gene interventions."
40816719,Neuroprotective mechanism of LincRNA in neurodegenerative diseases.,"Neurodegenerative diseases (NDs), such as Alzheimer's disease, Parkinson's disease , and Huntington's disease, are characterized by progressive neuronal dysfunction and cell death associated with protein aggregation, mitochondrial dysfunction, and neuroinflammation. Since the precise pathogenesis of NDs remains unclear, current therapeutic options are limited to symptomatic relief with minimal disease-modifying effects. Emerging evidences highlight the critical regulatory roles of long non-coding RNAs (lncRNAs) in the onset and progression of NDs through epigenetic modulation, mRNA stability control, and protein scaffolding. Among these, long intergenic non-coding RNAs (lincRNAs) have attracted significant attention for their dual roles in neuroprotection and neurodegeneration. These lincRNAs modulate disease-related genes through chromatin remodeling, miRNA sponging, and stress granule formation. This review systematically analyzes lincRNA expression signatures across NDs, their mechanistic roles in protein homeostasis, and emerging therapeutic strategies including antisense oligonucleotides and CRISPR-based approaches."
40816450,Understanding the influence of TLR-mediated immune system on necroptosis-induced neurodegeneration in Parkinson's disease.,"Neurodegeneration is a hallmark of various neurological disorders, including Parkinson's disease (PD), Alzheimer's disease (AD), stroke, and neurotropic viral infections. Although the precise etiology remains unclear, multiple pathological mechanisms contribute to disease progression, including mitochondrial dysfunction, protein aggregation, calcium excitotoxicity, endoplasmic reticulum (ER) stress, oxidative stress, immune system activation, and neuroinflammation. Among these, the immune response plays a crucial role in disease pathogenesis, acting as a defense mechanism against damage-associated molecular patterns (DAMPs), pathogen-associated molecular patterns (PAMPs), and toxic molecular species. Chronic immune activation, particularly of microglia, is a defining feature of neuroinflammation, which involves both innate and adaptive immune responses. In the central nervous system (CNS), microglia-mediated neuroinflammation leads to the release of proinflammatory cytokines, exacerbating neuronal damage. Necroptosis, a regulated form of programmed cell death, has been implicated in neuroinflammatory disorders, including PD. Persistent microglial activation in response to aggregated proteins stimulates various microglial receptors, which includes Toll-like receptor 4 (TLR4), that play a pivotal role in necroptosis activation via the myeloid differentiating primary response gene 88 (MYD88)-independent pathway. This review explores how immune system-mediated receptor activation triggers cell death pathways, with a focus on TLR-induced necroptosis in PD. In addition, we also discuss various downstream molecular mechanisms linking TLR signaling to necroptosis and discuss the potential of TLRs as therapeutic targets, offering insights for developing neuroprotective strategies in neurodegenerative diseases (NDDS)."
40815021,Novel Copper Chelators Enhance Spatial Memory and Biochemical Outcomes in Alzheimer's Disease Model.,"This study explores the potential of novel molecules that can act as copper chelators to treat Alzheimer's disease. Eight imines <b>L03-10</b> and one quinoline-based compound <b>L11</b> were synthesized, characterized, and evaluated as compounds that can act to reverse neurodegeneration in vivo. Their ability to extract copper from the Cu-β-amyloid complex, a key factor in Alzheimer's pathology, was assessed, achieving a remarkable in vitro activity for <b>L09</b>, <b>L10</b>, and <b>L11</b>. They effectively extracted it from the Cu-β-amyloid complex, which was confirmed using electron paramagnetic resonance (EPR) spectroscopy. In silico studies predicted that compounds <b>L09</b>, <b>L10</b>, and <b>L11</b> demonstrated favorable absorption, distribution, metabolism, and excretion (ADME) properties, suggesting suitability for oral administration and blood-brain barrier permeability. Cellular studies showed that compounds <b>L09</b> and <b>L10</b> (at concentrations up to 500 μM) exhibited low cytotoxicity. They reduced lipid peroxidation and DNA damage induced by beta-amyloid oligomers at lower concentrations. Compound <b>L11</b> showed more significant cytotoxicity but reduced beta-amyloid-induced DNA damage. In vivo studies (STZ-induced Alzheimer's rat model) proved that compound <b>L10</b> significantly reduced neuroinflammation, oxidative stress, and restored copper homeostasis in the hippocampus. This was accompanied by improved spatial memory performance in the Barnes maze test. Compounds <b>L09</b> and <b>L11</b> showed less impact on these parameters. The study presents compelling evidence that specifically designed copper chelators could offer a new therapeutic strategy for Alzheimer's disease. Compound <b>L10</b> is an up-and-coming candidate and warrants further investigation. The detailed in silico, in vitro, and in vivo analyses provide a solid motivation for future research and drug development efforts."
40814883,Decoding Dementia Mechanisms: Identification of Key Oligodendrocyte-Associated Genes through Integrative Bioinformatics and Machine Learning.,"This study aims to elucidate the mechanisms underlying Dementia using bioinformatics analysis and machine learning algorithms, to identify novel therapeutic targets for its clinical management. Gene expression datasets related to dementia were sourced from the GEO database. Differentially expressed genes (DEGs) were identified using R, and key module genes were determined through the Weighted Gene Co-expression Network Analysis (WGCNA) method. Oligodendrocyte (OL) related targets were retrieved from the GeneCards database. The intersecting genes from DEGs, WGCNA, and OL were analyzed using Gene Ontology and the Kyoto Encyclopedia of Genes and Genomes. Subsequently, three machine learning algorithms were employed to pinpoint core genes associated with OL in dementia. The CIBERSORT algorithm was used to evaluate the abundance of 22 immune cell types and their correlation with Dementia-related immune infiltration. Validation was carried out via quantitative reverse transcription polymerase chain reaction (RT-qPCR). Through bioinformatics and machine learning techniques, six core OL genes associated with Dementia were identified, notably C1QA, CD163, and TGFB2, which showed elevated expression in Dementia. Immune cell infiltration analysis indicated that several immune cell types may contribute to Dementia's pathogenesis, and RT-qPCR results corroborated the bioinformatics findings. The discovered genes may contribute to dementia pathogenesis through oligodendrocyte dysfunction and neuroimmune interactions. Notably, TGFB2 and complement-related genes (C1QA, CD163) suggest involvement in both myelination defects and neuroinflammation, highlighting their therapeutic potential. The six feature genes: TGFB2, C1QA, CD163, ACTG1, WIF1, and OPALIN are significantly linked to Dementia."
40814010,Targeted delivery of BACE1 siRNA for synergistic treatment of Alzheimer's disease.,"The deposition of toxic aggregated amyloid-β (Aβ), resulting from continuous cleavage of amyloid precursor protein (APP) by β-site APP cleaving enzyme 1 (BACE1) and γ-secretase, is a key pathogenic event in Alzheimer's disease (AD). Small interfering RNAs (siRNA) have shown great potential for disease treatment by specifically silencing target genes. However, the poor brain delivery efficiency of siRNAs limits their therapeutic efficacy against AD. We designed a simplified and effective BACE1 siRNA (siBACE1) delivery system, namely, dendritic polyamidoamine modified with the neurotropic virus-derived peptide RVG29 and polyethylene glycol (PPR@siBACE1). PPR@siBACE1 crossed the blood-brain barrier efficiently and entered brain parenchyma in large amount, with subsequent neurotropism and potential microglia-targeting ability. Both in vitro and in vivo studies validated the effective brain delivery of siBACE1 and strong BACE1 silencing efficiency. Treatment of AD mice with PPR@siBACE1 inhibited the production of Aβ, potentiated Aβ phagocytosis by microglia, improved the memory deficits and reduced neuroinflammatory response in AD mice. This study provides a reliable delivery platform for gene therapies for AD."
40813983,Cystatin F-a key player in central nervous system disease.,"Cystatin F is an endogenous cysteine protease inhibitor that belongs to the type II cystatin family. It has several unique characteristic structures that determine some of its specific functions. Cystatin F is expressed predominantly in peripheral immune cells and in the microglia of the central nervous system (CNS). Under physiological conditions, the expression of cystatin F in the CNS is minimal. However, emerging evidence suggests that it is significantly upregulated in several CNS diseases. Intriguingly, the role of cystatin F differs across disease contexts-serving a neuroprotective function while promoting pathological progression. Moreover, its function may shift across different pathological stages within the same disorder, reflecting a multifaceted pathophysiology. Cystatin F primarily acts by modulating neuroinflammation, clearing debris, and orchestrating immune responses via its selective expression in disease-associated microglia. As a vital player in CNS diseases, various intervention strategies targeting cystatin F have been proposed, including receptor-interacting protein kinase 1 pathway inhibition, miRNA targeting, mRNA stabilization, necroptosis inhibition, transcriptional regulation and upstream pathway modulation. Several approaches have yielded encouraging results in preclinical models, underscoring the therapeutic potential of modulating cystatin F activity. This review provides a comprehensive overview of the structural features, biological functions, and diverse roles of cystatin F in CNS diseases, including Alzheimer's disease, multiple sclerosis, Parkinson's disease, amyotrophic lateral sclerosis, stroke, Aicardi-Goutières syndrome, prion disease, and glioblastoma. Recent advances in therapeutic interventions focusing on cystatin F have been critically assessed, and key challenges related to clinical translation are outlined, offering new perspectives on therapeutic directions."
40813542,Pyroptosis: inflammatory cell death mechanism and its pathological roles in neurological diseases and injuries.,"Neurological disorders represent a major global public health challenge, causing significant impairments in motor, sensory, and cognitive functions. Among these disorders, Alzheimer's disease, cerebrovascular diseases, and Parkinson's disease are notably prevalent. Despite their widespread impact, effective therapeutic interventions remain limited. Recently, pyroptosis-a highly pro-inflammatory form of programmed cell death characterized by cell swelling, membrane perforation, and the release of cellular contents-has gained considerable attention. While pyroptosis plays a crucial role in host defense against pathogen infections, its excessive activation can trigger sustained inflammatory responses and has been implicated in the pathogenesis and progression of various neurological disorders. This review provides an overview of pyroptosis, including its definition, key molecular components, and associated signaling pathways, while examining its mechanistic roles in neuroinflammation, neurological disorders, cerebrovascular diseases, and neural tumors. Additionally, it explores the influence of other systemic dysregulations on the development of neurological disorders. Research has demonstrated that pyroptosis drives the death of neurons and glial cells through inflammasome activation and the Caspase-Gasdermin pathway, thereby amplifying neuroinflammation and influencing disease progression. Notably, excessive pyroptosis activation exacerbates neural damage in conditions such as Alzheimer's disease, Parkinson's disease, and ischemic brain injury. Consequently, targeting pyroptosis signaling pathways may present promising therapeutic strategies for neurological disorders. This review consolidates recent advancements in the field, offering valuable insights for the development of effective interventions."
40813311,Recent advances in nanomaterial-based biosensors for Alzheimer's disease diagnosis: a review.,"Alzheimer's disease (AD), the most prevalent neurodegenerative disorder globally, progressively impairs patients' cognitive functions and their ability to perform daily living activities. Its core pathologies include β-amyloid (Aβ) deposition, tau hyperphosphorylation, synaptic disruption, and neuroinflammation. Biomarkers such as cerebrospinal fluid Aβ<sub>42</sub>, T-tau, P-tau, synaptic proteins, neuroinflammatory factors, and dysregulated microRNAs provide critical targets for early diagnosis. However, the invasiveness of traditional cerebrospinal fluid testing limits its application in large-scale screening, giving rise to the development of non-invasive blood biomarker detection technologies. In recent years, biosensing technology based on nanomaterials has become a research hotspot in the field of early AD diagnosis, thanks to its advantages of high sensitivity, specificity, and multi-functional integration. This paper systematically reviews the latest progress of nano-biosensors, such as electrochemical, optical, and surface enhanced Raman scattering (SERS) sensors, in the detection of AD biomarkers. It focuses on exploring the role of nanomaterials in the detection of AD biomarkers."
40813153,"Engineered nanoplatforms for brain-targeted co-delivery of phytochemicals in Alzheimer's disease: Rational design, blood-brain barrier penetration, and multi-target therapeutic synergy.","Alzheimer's disease (AD) presents significant therapeutic challenges due to its multifactorial pathology, the inefficacy of traditional single-target drugs, and the poor bioavailability and limited blood-brain barrier (BBB) penetration of promising multi-target phytochemicals like curcumin, resveratrol, and quercetin. This review systematically examines the rational design and recent advancements in engineered nanoplatforms for brain-targeted co-delivery of phytochemicals in AD. Nanotechnology leverages lipid-based systems (liposomes, solid lipid nanoparticles), polymer-based carriers (PLGA nanoparticles), inorganic nanosystems (gold, selenium nanoparticles), and biologically-derived vehicles to significantly enhance phytochemical stability, targeting efficiency, and brain accumulation. Strategic surface functionalization with BBB-translocating ligands, including transferrin receptor antibodies and RVG29 peptide, combined with stimuli-responsive mechanisms exploiting the pathological microenvironment (pH, enzyme sensitivity), enables efficient BBB penetration and lesion-specific drug release. These nanodrug delivery systems demonstrate substantial cognitive improvement in AD animal models through synergistic multi-pathway effects: inhibiting Aβ aggregation, modulating Tau phosphorylation, reducing neuroinflammation, and enhancing antioxidant activity, often at markedly reduced doses compared to free drugs. While preclinical results are compelling, critical challenges remain in nanocarrier long-term biosafety, scalable manufacturing, and clinical translation. This review provides a comprehensive framework and technical insights for developing efficient, safe, and translatable nanotherapeutics for AD."
40812500,Low-intensity pulsed ultrasound enhances microglial-mediated Aβ clearance and synaptic preservation in an APP transgenic mouse model of Alzheimer's disease.,"Alzheimer's disease (AD) is characterized by amyloid-β (Aβ) plaque accumulation and neurofibrillary tangles, leading to neuroinflammation, synaptic dysfunction, and cognitive decline. Despite extensive research, current therapies for AD show limited efficacy. Low-intensity pulsed ultrasound (LIPUS) has emerged as a promising non-invasive therapeutic approach due to its neuroprotective and immunomodulatory properties. This study investigates the effects of LIPUS on Aβ pathology, neuroinflammation, and cognitive deficits in a transgenic AD mouse model. Twelve-month-old J20 transgenic mice expressing human amyloid precursor protein (APP) were used to model middle-to-late-stage AD. LIPUS was administered for 30 days, targeting the bilateral hippocampus. Spatial memory was assessed via the Morris water maze (MWM). Aβ plaque burden and synaptic integrity were quantified using immunofluorescence and Thioflavin-S staining. Western blot analysis evaluated neurotrophic factors, inflammatory markers, and synaptic proteins (PSD95). LIPUS treatment significantly improved spatial learning and memory deficits in APP transgenic mice, as evidenced by reduced escape latency and increased platform crossings in the MWM test. LIPUS significantly reduced hippocampal amyloid plaque burden and promoted microglial recruitment to Aβ plaques. Importantly, LIPUS downregulated TNF-α expression without affecting IL-6 levels, suggesting enhanced Aβ clearance without inducing neuroinflammation. Furthermore, LIPUS increased synaptophysin expression in the CA3-mossy fiber and dentate gyrus (DG) regions, while PSD95 levels remained unchanged. Our findings demonstrate that LIPUS enhances microglial-mediated Aβ clearance, preserves synaptic integrity, and improves cognitive function in a transgenic AD model. As a non-invasive modality capable of targeting deep brain structures, LIPUS holds promise as a potential therapeutic strategy for AD."
40811673,Cannabidiol improves learning and memory deficits and alleviates anxiety in 12-month-old SAMP8 mice.,"Cannabidiol (CBD) has gained a lot of interest in recent years for its purported medicinal properties. CBD has been investigated for the treatment of anxiety, depression, epilepsy, neuroinflammation, and pain. Recently there has been an interest in CBD as a possible treatment for age-related disorders such as Alzheimer's disease and related disorders (ADRD). Here we tested the hypothesis that chronic CBD administration would improve learning and memory in the SAMP8 mouse model of Alzheimer's disease. SAMP8 mice aged 11 months (at the start of the study) were administered vehicle or CBD (3 or 30 mg/Kg) daily via oral gavage for 2 months. Vehicle-treated young SAMP8 mice (age 3 months at the start of the study) served as unimpaired controls. After 30 days of treatment (4 and 12 months of age), learning and memory, activity, anxiety, strength and dexterity were assessed. High dose CBD treatment significantly improved learning and memory of the 12-month-old mice in the T maze. Novel object recognition memory was also improved by CBD in aged CBD treated mice. Aged CBD treated mice also displayed less anxiety in the elevated plus maze test compared to controls. However, activity and strength levels were similar between groups. Biochemical analysis revealed decreased markers of oxidative stress, providing a possible mechanism by which CBD treatment impacts learning, memory, and anxiety. These results highlight the potential use of CBD as a therapeutic for age related cognitive impairment and dementia."
40810895,A Narrative Review on the Neuroprotective Effects of Selenium and Vitamin D in Alzheimer's Disease.,"Alzheimer's disease (AD) is a growing global public health concern, particularly affecting the elderly population. It is clinically characterized by progressive memory loss, cognitive decline, and impaired daily functioning. Given the multifactorial etiology of AD, increasing attention has been directed toward modifiable risk factors, including deficiencies in essential micronutrients such as selenium and vitamin D. This narrative review aims to examine the current evidence on the potential roles of selenium and vitamin D in the onset and progression of AD, with an emphasis on the underlying biochemical and neuroprotective mechanisms. A comprehensive literature search was conducted across databases including PubMed, MEDLINE, Cochrane Library, Web of Science, ScienceDirect, BMJ, EMBASE, and Google Scholar using combinations of relevant keywords related to Alzheimer's disease, selenium, vitamin D, neuroprotection, oxidative stress, and micronutrient deficiency. Selenium and vitamin D have been implicated in mitigating several pathological features of AD, such as amyloid-beta plaque accumulation, tau hyperphosphorylation, oxidative stress, and neuroinflammation. Observational studies indicate that low levels of selenium (below 70-90 μg/L) and vitamin D (below 20 ng/mL) are associated with an increased risk of cognitive decline and dementia. However, most findings stem from preclinical or observational studies, and the evidence remains inconclusive due to variations in study design, dosage, sample size, and duration of supplementation. While emerging evidence suggests a neuroprotective role for selenium and vitamin D in AD pathology, current findings are limited by methodological heterogeneity and a lack of high-quality randomized clinical trials. Further mechanistic and interventional studies are warranted to clarify the causal relationship and therapeutic potential of these micronutrients in Alzheimer's disease management."
40810748,"Probiotic effects on cognitive performance, hippocampal oxidative stress, and structural damage induced by icv STZ in Alzheimer-like rat model.","Alzheimer's disease (AD) is a deteriorating neurodegenerative disorder defined by cognitive decline and neuronal damage, with oxidative stress and neuroinflammation as central pathological features. Emerging evidence suggests the gut-brain axis is a key modulator in neurodegeneration, highlighting probiotics' potential in mitigating AD progression. This study investigates the effects of Lactobacillus acidophilus ATCC4356, Lactobacillus reuteri DSM 17938, and their combination on cognitive performance, oxidative stress, and hippocampal structure in a streptozotocin (STZ)-induced AD-like rat model. Thirty-Five male Sprague-Dawley rats were randomly assigned to five groups: Sham, AD-like model (STZ), STZ + Ac, STZ + Re, and STZ + Comb. The AD-like model was induced via intracerebroventricular (icv) injection of STZ. Probiotics were administered by gavage for 35 days. Behavioral assessments, including the open field test and Morris water maze, were conducted to evaluate cognitive and anxiety-like behaviors. Hippocampal oxidative stress markers, including malondialdehyde (MDA), glutathione, superoxide dismutase, and catalase , were analyzed biochemically. Additionally, stereological techniques were used to assess hippocampal volume and cellular densities. Behavioral results demonstrated significant improvement in anxiety-like behavior and spatial memory in probiotic-treated groups compared to the STZ group. Biochemical analysis revealed reduced MDA levels and enhanced antioxidant markers following probiotic intervention. Histological and stereological analyses indicated increased neuronal density and reduced glial cell activation in hippocampal subregions (CA1, CA3, DG), though hippocampal volume loss remained unaltered. These findings underscore the neuroprotective potential of probiotics in alleviating AD-related neurodegeneration, possibly through antioxidative and anti-inflammatory mechanisms. Further pre-clinical studies are warranted to optimize probiotic regimens for AD prevention and treatment."
40810340,T cells turn in Alzheimer's disease.,No abstract
40810239,"Understanding the role of microglia in Alzheimer's disease: insights into mechanisms, acupuncture, and potential therapeutic targets.","Microglia (MG) are immune effector cells in the central nervous system (CNS) and play a pivotal role in the pathogenesis of various CNS diseases. Alzheimer's disease (AD) is defined as a severe chronic degenerative neurological disease in humans. The amyloid cascade hypothesis is a hypothesis on the pathogenesis of AD that suggests that abnormal extracellular aggregation of β-amyloid (Aβ) peptides is the main cause of the disease. Although this hypothesis has been found to be convincing, a growing body of evidence suggests that it does not fully explain the pathogenesis of AD. Neuroinflammation is a crucial element in the pathogenesis of AD, as evidenced by elevated levels of inflammatory markers and the identification of AD risk genes associated with innate immune function. This paper will first summarize the impact of microglia-mediated neuroinflammation on AD, exploring the phenotypic changes that follow microglia activation. Secondly, the interactions between microglia, Aβ, microtubule-associated protein, apolipoprotein E and neurons are thoroughly investigated, with particular focus on the interactive mechanisms. Furthermore, the recent progress and prospects of microglia as a diagnostic and therapeutic target for AD are analysed. A review of the literature on the mechanisms regulating MG for AD at home and abroad revealed that acupuncture modulation of microglia could help to delay the progression of AD. This was followed by an extensive discussion of the clinical possibilities and scientific validity of acupuncture treatment for AD, with the aim of providing new insights for acupuncture modulation of MG targeting for the treatment of AD."
40810165,Therapeutic Potential of a Gadolinium Chelate Complex Conjugated with Vanillic Acid for Alzheimer's Disease.,"Magnetic resonance imaging (MRI) is a widely used diagnostic tool for neurodegenerative diseases, including Alzheimer's disease. A gadolinium chelate conjugated with vanillic acid (Gd-DO3A-Va) serves as a contrast agent that specifically targets activated microglia in the brains of Alzheimer's disease animal models, such as the 5XFAD mouse. In this study, we evaluated the therapeutic potential of Gd-DO3A-Va in this model. The 5XFAD mouse exhibits neuroinflammation, characterized by activation of the c-Jun N-terminal kinase signaling pathway, inflammasome activation, and increased amyloid-β (Aβ) productionall of which are pathological features of Alzheimer's disease. Treatment with Gd-DO3A-Va reduced inflammatory responses and Aβ deposits. Additionally, the peri-plaque dendritic loss observed in the brains of 5XFAD mice was attenuated following Gd-DO3A-Va treatment. Moreover, Gd-DO3A-Va treatment prevented memory loss, as indicated by the Y-maze test. Taken together, these findings suggest that Gd-DO3A-Va, an MR contrast agent that provides disease-specific signal enhancement in the brains of animal models of Alzheimer's disease, shows promising therapeutic potential for preventing disease progression by suppressing inflammation and inhibiting Aβ production. Therefore, Gd-DO3A-Va could serve as a theranostic agent for Alzheimer's disease."
40810098,Alterations of the oral microbiota in mild Alzheimer's disease and the appropriate application of chlorhexidine gluconate.,"This study investigated the effect of 0.2 % chlorhexidine gluconate on oral microbiota dysbiosis in Alzheimer's disease (AD) and explored potential links between oral microbiota and cognition, offering new insights into its role in AD treatment. We assessed the impact of 0.2 % chlorhexidine gluconate on the oral microbiota of patients with AD. One hundred patients were divided into two groups based on oral health score (using a cut-off of 8). Subgingival plaque samples were analyzed using 16S rRNA sequencing; no significant differences in bacterial composition were observed between groups at baseline. Poor oral health correlated with higher oral health scores (<i>P</i> = 0.000), fewer teeth (<i>P</i> = 0.002), lower cognitive levels (<i>P</i> = 0.048), and a higher proportion of patients with diabetes (<i>P</i> = 0.032). After 24 weeks of treatment with 0.2 % chlorhexidine gluconate in a randomized controlled trial, subgingival plaques from 66 patients showed changes in <i>Porphyromonas, Filifactor, Desulfobulbus, Anaeroglobus, Pyramidobacter, Mycoplasma, Dialister, Fretibacterium,</i> and <i>Tannerella</i> (<i>P</i> < 0.05). <i>Treponem</i>a and <i>Porphyromonas gingivalis</i> were identified as potential interventional targets. Chlorhexidine gluconate effectively alters oral flora, reducing harmful bacteria. Targeting specific microbiota disturbances may offer a promising strategy to delay AD onset or slow its progression. This research was registered with the Chinese Clinical Trial Registry (ChiCTR; Reference: ChiCTR2000032876). Registered: 14th of May 2020; http://www.chictr.org.cn/showprojen.aspx?proj=53555."
